School,CountyReport,Number_of_Total_Cases,ReportDate,Column
Open Bible Christian Academy,Baltimore,5,12/2/2020,15:00:00+00
Rosedale Baptist School,Baltimore,2,12/2/2020,15:00:00+00
Running Brook Elementary School,Howard,2,12/2/2020,15:00:00+00
St. Joseph's School,Baltimore,4,12/2/2020,15:00:00+00
St. Mark School,Baltimore,7,12/2/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,12/2/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,2,12/2/2020,15:00:00+00
St. Paul's School,Baltimore,4,12/2/2020,15:00:00+00
Torah School of Greater Washington,Montgomery,3,12/2/2020,15:00:00+00
Truth Christian Academy,Washington,3,12/2/2020,15:00:00+00
Woodson Elementary School,Somerset,6,12/2/2020,15:00:00+00
Broadfording Christian Academy,Washington,5,12/9/2020,15:00:00+00
Glenelg Country School,Howard,12,12/9/2020,15:00:00+00
Grace Academy,Washington,19,12/9/2020,15:00:00+00
Heritage Academy,Washington,2,12/9/2020,15:00:00+00
Living Hope Christian School,Somerset,3,12/9/2020,15:00:00+00
McDonogh School,Baltimore,5,12/9/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Baltimore,2,12/9/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,6,12/9/2020,15:00:00+00
Rosedale Baptist School,Baltimore,2,12/9/2020,15:00:00+00
St. Paul's School,Baltimore,4,12/9/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,12/9/2020,15:00:00+00
Torah School of Greater Washington,Montgomery,3,12/9/2020,15:00:00+00
Woodson Elementary School,Somerset,6,12/9/2020,15:00:00+00
Yough Glades Elementary School,Garrett,3,12/9/2020,15:00:00+00
Broadfording Christian Academy,Washington,5,12/9/2020,15:00:00+00
Glenelg Country School,Howard,12,12/9/2020,15:00:00+00
Grace Academy,Washington,19,12/9/2020,15:00:00+00
Heritage Academy,Washington,2,12/9/2020,15:00:00+00
Living Hope Christian School,Somerset,3,12/9/2020,15:00:00+00
McDonogh School,Baltimore,5,12/9/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Baltimore,2,12/9/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,6,12/9/2020,15:00:00+00
Rosedale Baptist School,Baltimore,2,12/9/2020,15:00:00+00
St. Paul's School,Baltimore,4,12/9/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,12/9/2020,15:00:00+00
Torah School of Greater Washington,Montgomery,3,12/9/2020,15:00:00+00
Woodson Elementary School,Somerset,6,12/9/2020,15:00:00+00
Yough Glades Elementary School,Garrett,3,12/9/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,11,12/16/2020,15:00:00+00
Beechfield Elementary/Middle,Baltimore City,2,12/16/2020,15:00:00+00
Frederick Christian Academy,Frederick,8,12/16/2020,15:00:00+00
Frederick High School,Frederick,2,12/16/2020,15:00:00+00
Glenelg Country School,Howard,12,12/16/2020,15:00:00+00
Heritage Academy,Washington,2,12/16/2020,15:00:00+00
Linganore High School,Frederick,5,12/16/2020,15:00:00+00
Middletown Elementary School,Frederick,3,12/16/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Worcester,2,12/16/2020,15:00:00+00
Mount Aviat Academy,Cecil,3,12/16/2020,15:00:00+00
St. Paul's School,Baltimore,4,12/16/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,12/16/2020,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,12,12/16/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,3,12/16/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,25,12/23/2020,15:00:00+00
Esperanza Middle School,St. Mary's,3,12/23/2020,15:00:00+00
Fellowship Christian School,Montgomery,3,12/23/2020,15:00:00+00
Frederick Christian Academy,Frederick,10,12/23/2020,15:00:00+00
Heritage Academy,Washington,2,12/23/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Worcester,3,12/23/2020,15:00:00+00
Mount Aviat Academy,Cecil,5,12/23/2020,15:00:00+00
Our Lady of Mt. Carmel,Baltimore,3,12/23/2020,15:00:00+00
Rosedale Baptist School,Baltimore,3,12/23/2020,15:00:00+00
Severn School,Anne Arundel,4,12/23/2020,15:00:00+00
St. Mark School,Baltimore,3,12/23/2020,15:00:00+00
St. Mary's School,Anne Arundel,3,12/23/2020,15:00:00+00
St. Paul's School,Baltimore,4,12/23/2020,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,13,12/23/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,3,12/23/2020,15:00:00+00
West Frederick Middle School,Frederick,2,12/23/2020,15:00:00+00
Windsor Knolls Middle School,Frederick,4,12/23/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,27,12/30/2020,15:00:00+00
College Gardens Elementary,Montgomery,2,12/30/2020,15:00:00+00
Esperanza Middle School,St. Mary's,3,12/30/2020,15:00:00+00
Frederick Christian Academy,Frederick,10,12/30/2020,15:00:00+00
Heritage Academy,Washington,2,12/30/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Worcester,3,12/30/2020,15:00:00+00
Mount Aviat Academy,Cecil,5,12/30/2020,15:00:00+00
Ohr Chadash Academy of Baltimore,Baltimore City,2,12/30/2020,15:00:00+00
Our Lady of Mt. Carmel,Baltimore,3,12/30/2020,15:00:00+00
Rosedale Baptist School,Baltimore,3,12/30/2020,15:00:00+00
Severn School,Anne Arundel,4,12/30/2020,15:00:00+00
St. Mark School,Baltimore,3,12/30/2020,15:00:00+00
St. Mary's School,Anne Arundel,3,12/30/2020,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,36,12/30/2020,15:00:00+00
West Frederick Middle School,Frederick,2,12/30/2020,15:00:00+00
Windsor Knolls Middle School,Frederick,4,12/30/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,31,1/6/2021,15:00:00+00
College Gardens Elementary,Montgomery,2,1/6/2021,15:00:00+00
Esperanza Middle School,St. Mary's,3,1/6/2021,15:00:00+00
Heritage Academy,Washington,2,1/6/2021,15:00:00+00
Ohr Chadash Academy of Baltimore,Baltimore City,2,1/6/2021,15:00:00+00
Our Lady of Mt. Carmel,Baltimore,3,1/6/2021,15:00:00+00
Rosedale Baptist School,Baltimore,6,1/6/2021,15:00:00+00
St. Mary's School,Anne Arundel,5,1/6/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,36,1/6/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,6,1/6/2021,15:00:00+00
Wicomico Day School,Wicomico,2,1/6/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,34,1/13/2021,15:00:00+00
College Gardens Elementary,Montgomery,2,1/13/2021,15:00:00+00
Bishop McNamara High School,Prince George's,2,1/13/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,2,1/13/2021,15:00:00+00
Esperanza Middle School,St. Mary's,3,1/13/2021,15:00:00+00
Harlem Park,Baltimore City,2,1/13/2021,15:00:00+00
Heritage Academy,Washington,2,1/13/2021,15:00:00+00
Ohr Chadash Academy of Baltimore,Baltimore City,2,1/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,36,1/13/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,19,1/13/2021,15:00:00+00
Windsor Knolls Middle School,Frederick,8,1/13/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,34,1/13/2021,15:00:00+00
College Gardens Elementary,Montgomery,2,1/13/2021,15:00:00+00
Bishop McNamara High School,Prince George's,2,1/13/2021,15:00:00+00
Esperanza Middle School,St. Mary's,3,1/13/2021,15:00:00+00
Harlem Park,Baltimore City,2,1/13/2021,15:00:00+00
Heritage Academy,Washington,2,1/13/2021,15:00:00+00
Ohr Chadash Academy of Baltimore,Baltimore City,2,1/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,36,1/13/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,19,1/13/2021,15:00:00+00
Windsor Knolls Middle School,Frederick,8,1/13/2021,15:00:00+00
Annapolis Area Christian School,Anne Arundel,3,1/20/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,37,1/20/2021,15:00:00+00
Bais Yaakov School for Girls,Baltimore,3,1/20/2021,15:00:00+00
College Gardens Elementary,Montgomery,2,1/20/2021,15:00:00+00
Bishop McNamara High School,Prince George's,9,1/20/2021,15:00:00+00
Calvert Hall College High School,Baltimore,7,1/20/2021,15:00:00+00
Harlem Park,Baltimore City,2,1/20/2021,15:00:00+00
Heritage Academy,Washington,2,1/20/2021,15:00:00+00
Salisbury Christian School,Wicomico,2,1/20/2021,15:00:00+00
School of the Incarnation,Anne Arundel,3,1/20/2021,15:00:00+00
Sunderland Elementary School,Calvert,4,1/20/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,48,1/20/2021,15:00:00+00
The Harbour School at Baltimore,Anne Arundel,3,1/20/2021,15:00:00+00
The Heights School,Montgomery,4,1/20/2021,15:00:00+00
The Young School at Kendall Ridge,Howard,1,1/20/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,26,1/20/2021,15:00:00+00
Annapolis Area Christian School,Anne Arundel,3,1/20/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,37,1/20/2021,15:00:00+00
Bais Yaakov School for Girls,Baltimore,3,1/20/2021,15:00:00+00
College Gardens Elementary,Montgomery,2,1/20/2021,15:00:00+00
Bishop McNamara High School,Prince George's,9,1/20/2021,15:00:00+00
Calvert Hall College High School,Baltimore,7,1/20/2021,15:00:00+00
Harlem Park,Baltimore City,2,1/20/2021,15:00:00+00
Heritage Academy,Washington,2,1/20/2021,15:00:00+00
Salisbury Christian School,Wicomico,2,1/20/2021,15:00:00+00
School of the Incarnation,Anne Arundel,3,1/20/2021,15:00:00+00
Sunderland Elementary School,Calvert,4,1/20/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,48,1/20/2021,15:00:00+00
The Harbour School at Baltimore,Anne Arundel,3,1/20/2021,15:00:00+00
The Heights School,Montgomery,4,1/20/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,26,1/20/2021,15:00:00+00
Annapolis Area Christian School,Anne Arundel,3,1/27/2021,15:00:00+00
The Avalon School,Montgomery,3,1/27/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,44,1/27/2021,15:00:00+00
Bais Yaakov Middle School,Baltimore,3,1/27/2021,15:00:00+00
Bais Yaakov School for Girls,Baltimore,3,1/27/2021,15:00:00+00
Bishop McNamara High School,Prince George's,10,1/27/2021,15:00:00+00
Brookewood School,Montgomery,3,1/27/2021,15:00:00+00
Calvert Hall College High School,Baltimore,7,1/27/2021,15:00:00+00
Cheder Chabad School,Baltimore City,2,1/27/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,2,1/27/2021,15:00:00+00
Georgetown Preparatory School,Montgomery,4,1/27/2021,15:00:00+00
Heritage Academy,Washington,2,1/27/2021,15:00:00+00
Little Flower School,St. Mary's,3,1/27/2021,15:00:00+00
Parr's Ridge Elementary,Carroll,2,1/27/2021,15:00:00+00
Resurrection St. Paul School,Howard,8,1/27/2021,15:00:00+00
Runnymede Elementary,Carroll,2,1/27/2021,15:00:00+00
Salisbury Christian School,Wicomico,5,1/27/2021,15:00:00+00
School of the Incarnation,Anne Arundel,4,1/27/2021,15:00:00+00
St. Francis de Sales Catholic School,Wicomico,6,1/27/2021,15:00:00+00
St. Mary's Ryken High School,St. Mary's,2,1/27/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,56,1/27/2021,15:00:00+00
The Heights School,Montgomery,4,1/27/2021,15:00:00+00
The Primary Day School,Montgomery,2,1/27/2021,15:00:00+00
Torah Institute of Baltimore,Baltimore,26,1/27/2021,15:00:00+00
William Winchester Elementary School,Carroll,4,1/27/2021,15:00:00+00
The Avalon School,Montgomery,5,2/3/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,45,2/3/2021,15:00:00+00
Bishop McNamara High School,Prince George's,10,2/3/2021,15:00:00+00
Brookewood School,Montgomery,3,2/3/2021,15:00:00+00
Calvert Hall College High School,Baltimore,7,2/3/2021,15:00:00+00
Cheder Chabad School,Baltimore City,2,2/3/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,2,2/3/2021,15:00:00+00
Georgetown Preparatory School,Montgomery,7,2/3/2021,15:00:00+00
Heritage Academy,Washington,2,2/3/2021,15:00:00+00
Kings Christian Academy,St. Mary's,6,2/3/2021,15:00:00+00
Little Flower School,St. Mary's,3,2/3/2021,15:00:00+00
McDonogh School,Baltimore,4,2/3/2021,15:00:00+00
Our Lady of Mercy,Montgomery,3,2/3/2021,15:00:00+00
Resurrection St. Paul School,Howard,14,2/3/2021,15:00:00+00
Runnymede Elementary,Carroll,5,2/3/2021,15:00:00+00
Salisbury Christian School,Wicomico,4,2/3/2021,15:00:00+00
Spaulding High School,Anne Arundel,2,2/3/2021,15:00:00+00
St. Francis de Sales Catholic School,Wicomico,6,2/3/2021,15:00:00+00
St. Louis School,Howard,3,2/3/2021,15:00:00+00
St. Margaret's Elementary,Harford,2,2/3/2021,15:00:00+00
St. Mary's Ryken High School,St. Mary's,2,2/3/2021,15:00:00+00
St. Raphael School,Montgomery,9,2/3/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,62,2/3/2021,15:00:00+00
The Country School,Talbot,2,2/3/2021,15:00:00+00
The Heights School,Montgomery,4,2/3/2021,15:00:00+00
William Winchester Elementary School,Carroll,2,2/3/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,49,2/10/2021,15:00:00+00
Bethel Christian Academy,Howard,2,2/10/2021,15:00:00+00
Calvert Hall College High School,Baltimore,7,2/10/2021,15:00:00+00
Carroll Springs Elementary,Carroll,2,2/10/2021,15:00:00+00
Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/10/2021,15:00:00+00
Cheder Chabad School,Baltimore City,2,2/10/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,5,2/10/2021,15:00:00+00
Kings Christian Academy,St. Mary's,7,2/10/2021,15:00:00+00
McDonogh School,Baltimore,4,2/10/2021,15:00:00+00
Resurrection St. Paul School,Howard,15,2/10/2021,15:00:00+00
Runnymede Elementary,Carroll,5,2/10/2021,15:00:00+00
St. Louis School,Howard,3,2/10/2021,15:00:00+00
St. Raphael School,Montgomery,9,2/10/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,72,2/10/2021,15:00:00+00
The Country School,Talbot,7,2/10/2021,15:00:00+00
The Primary Day School,Montgomery,6,2/10/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,51,2/17/2021,15:00:00+00
Bethel Christian Academy,Howard,3,2/17/2021,15:00:00+00
Calvary Baptist Church Academy,Anne Arundel,7,2/17/2021,15:00:00+00
Carroll Springs Elementary,Carroll,2,2/17/2021,15:00:00+00
Catoctin High School,Frederick,2,2/17/2021,15:00:00+00
Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/17/2021,15:00:00+00
Cheder Chabad School,Baltimore City,2,2/17/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,6,2/17/2021,15:00:00+00
McDonogh School,Baltimore,4,2/17/2021,15:00:00+00
Resurrection St. Paul School,Howard,15,2/17/2021,15:00:00+00
Runnymede Elementary,Carroll,5,2/17/2021,15:00:00+00
St. Martin's in the Field Episcopal School,Anne Arundel,2,2/17/2021,15:00:00+00
St. Paul's School,Baltimore,4,2/17/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,3,2/17/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,32,2/17/2021,15:00:00+00
The Country School,Talbot,4,2/17/2021,15:00:00+00
The Primary Day School,Montgomery,8,2/17/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,51,2/24/2021,15:00:00+00
Bethel Christian Academy,Howard,3,2/24/2021,15:00:00+00
Calvary Baptist Church Academy,Anne Arundel,8,2/24/2021,15:00:00+00
Catoctin High School,Frederick,2,2/24/2021,15:00:00+00
Cheder Chabad School,Baltimore City,2,2/24/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,6,2/24/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,2/24/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,2,2/24/2021,15:00:00+00
Oklahoma Rd Middle School,Carroll,2,2/24/2021,15:00:00+00
Rosedale Baptist School,Baltimore,2,2/24/2021,15:00:00+00
South Carroll High School,Carroll,4,2/24/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,2,2/24/2021,15:00:00+00
St. Martin's in the Field Episcopal School,Anne Arundel,2,2/24/2021,15:00:00+00
St. Paul's School,Baltimore,4,2/24/2021,15:00:00+00
The Country School,Talbot,5,2/24/2021,15:00:00+00
The Primary Day School,Montgomery,8,2/24/2021,15:00:00+00
Torah School of Greater Washington,Montgomery,2,2/24/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,51,2/24/2021,15:00:00+00
Bethel Christian Academy,Howard,3,2/24/2021,15:00:00+00
Calvary Baptist Church Academy,Anne Arundel,8,2/24/2021,15:00:00+00
Catoctin High School,Frederick,2,2/24/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,6,2/24/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,2/24/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,2,2/24/2021,15:00:00+00
Oklahoma Rd Middle School,Carroll,2,2/24/2021,15:00:00+00
Rosedale Baptist School,Baltimore,2,2/24/2021,15:00:00+00
